種類,英文,中文
上衣,Across Back @ Specified Position,後背寬
上衣,Across Back Position Down from HPS,後背寬位置-肩高點下
上衣,Across front @ specified Position,前胸寬
上衣,Across Front Position Down from HPS,前胸寬位置-肩高點下
上衣,Across Shoulder - Seam to Seam,肩寬-縫至縫
上衣,Armhole Drop from Front Neck Edge,袖攏深距領邊
上衣,Armhole Drop from HPS,袖攏深-肩高點量
上衣,Armhole/Neck Binding Width,袖滾/領滾寬
上衣,Back Neck Drop HPS to Edge,後領深-肩高點至邊
上衣,Back Neck Drop HPS to Seam,後領深-肩高點至縫
上衣,Back Strap Spacing - inner to inner,後背肩帶間距-內緣到內緣
上衣,"Bicep/Muscle - 1"" Below Armhole - Flat","臂圍-腋下1"" (平量)"
上衣,Body & Sleeve Hem Height,下擺高/袖口高
上衣,Body Hem Height,下擺高
上衣,Body Length from HPS - Top,身長-肩高點量
上衣,Bottom Keyhole Height @ Center,後背底端倒V高-中間量
上衣,Bottom Keyhole Height @ Side,後背底端倒V高-側邊量
上衣,Bottom Keyhole Width @ Bottom,後背底端倒V寬-底端量
上衣,Bottom Keyhole Width @ Widest,後背底端倒V寬-最寬處量
上衣,"Bra Chest 1"" Below Armhole - Flat","胸圍-腋下1"" (平量)"
上衣,Bra Length at CB from Top edge to Bottom Edge,後外身長-後中頂邊至下襬
上衣,Bra Length at CF from Neck edge to Bottom Edge,前外身長-前中領邊至下襬
上衣,Bra Length at SS from Edge to Edge,脇邊長-邊到邊
上衣,Bra Sweep at Edge Relaxed - Flat,下襬寬-鬆量 (平量)
上衣,CB Body Length Neck Edge to Bottom Edge - Cami,後外身長-後中頂邊至下襬
上衣,CB Pleat Depth on both sides,後中兩側褶皺深度
上衣,CB Pleat Stitching Length - Neck Binding Edge to Bottom Edge,後中褶皺壓線長度-從領滾邊至底邊
上衣,CB Pleat Stitching Width,後中褶皺壓線寬度
上衣,CB Strap Length @ V,"後背""倒V"" 帶長"
上衣,CB Strap Spacing - inner edge to inner edge,後中肩帶間距-內緣到內緣
上衣,Center Back Strap Join Length,後背肩帶重疊長
上衣,Center Front Top Zipper Length,前中拉鍊長
上衣,CF Body Length Neck Edge to Bottom Edge - Cami,前外身長-前中領邊至下襬
上衣,"Chest/Bust - 1"" below Armhole - Flat","胸圍-腋下1"" (平量)"
上衣,Chest/Bust @ Armhole - Flat,胸圍-腋點 (平量)
上衣,Collar Band Height at CB,領高-後中量
上衣,Collar Height @ Center Back,領高-後中量
上衣,Elastic Height -edge to top stitching line,鬆緊帶高
上衣,Elbow @ specified Placement - Flat,肘圍 (平量)
上衣,Elbow Placement Below Armhole on inseam,肘圍位置-腋下
上衣,Front Neck Drop - Strap Join to neck edge - Cami,前領深-肩帶接點到領邊
上衣,Front Neck Drop HPS to Edge,前領深-肩高點至邊
上衣,Front Neck Drop HPS to Seam,前領深-肩高點至縫
上衣,Front Neck Width-inside join to join- Cami,前領寬-邊到邊
上衣,Hem Band Height,下擺高
上衣,Hem Height,下襬高
上衣,Hood Cross over @ Neck Seam - Edge to Edge,前帽中交疊
上衣,Hood Height from HPS,帽高-肩高點量
上衣,Hood Hem Height,帽口高
上衣,Hood Opening from Neck Seam,帽開口-領縫量
上衣,Hood Panel Width @ back neck seam,帽中剪接寬-後領縫量
上衣,Hood Panel Width @ front edge,帽中剪接寬-前領邊量
上衣,Hood Standing Collar Height at Center Front,領台高-前中量
上衣,"Hood Width - 4"" Down from Top Edge - Flat","帽寬-帽頂下4"" (平量)"
上衣,INNER BRA,內大身
上衣,"Inner Bra Chest 1"" Below Armhole - Flat","內胸寬-腋下1"" (平量)"
上衣,Inner Bra Elastic Height,內大身鬆緊帶高
上衣,Inner Bra Length at CB from HPS to Edge,內身長-後中量-肩高點至下襬
上衣,Inner Bra Length at CB from Top Edge to Edge,內身長-後中量-頂邊至下襬邊
上衣,Inner Bra Length at CF from Neck Edge to Bottom Edge,內身長-前中量-領邊至下襬邊
上衣,Inner Bra Length at CF from Strap Join to Edge,內身長-前中量-肩帶接點至下襬邊
上衣,Inner Bra Length at SS from Edge to Edge,內脇邊長-邊到邊
上衣,Inner Bra Sweep at Seam Relaxed - Flat,內下襬寬-接縫鬆量 (平量)
上衣,Minimum Neck Extended - Circumference,最小領拉量 (整圈)
上衣,Neck Width Seam to Seam,領寬-縫到縫
上衣,"Outer Bra Chest 1"" Below Armhole - Flat","外胸寬-腋下1"" (平量)"
上衣,Outer Bra Sweep at Edge Relaxed - Flat,外下襬寬-邊鬆量 (平量)
上衣,OUTER BRA/SHELL,外大身
上衣,Outer Shoulder Strap Length - Ft Join to Bk Join - Cami,外側肩帶長度-前接點到後接點
上衣,"Outer Tank Chest 1"" Below Armhole - Flat","外胸寬-腋下1"" (平量)"
上衣,OUTER TANK/SHELL,外大身
上衣,Patch Pocket Height at Center - to stitch,貼袋高-中心量 (到壓線)
上衣,Patch Pocket Height at Side - to stitch,貼袋高-側邊量 (到壓線)
上衣,Patch Pocket Width at Bottom - at top of stitch,貼袋寬-底端量 (壓線上緣)
上衣,Patch Pocket Width at Bottom of pocket opening,貼袋寬-開口底端量
上衣,Patch Pocket Width at Top,貼袋寬-頂邊量
